::1 - - [28/Jul/2024:05:53:25 +0000] "GET /user/register HTTP/1.1" 404 152 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:05:54:09 +0000] "GET / HTTP/1.1" 200 35 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:05:54:15 +0000] "GET /user HTTP/1.1" 404 143 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:05:54:48 +0000] "POST /user/register HTTP/1.1" 500 24 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:06:16:29 +0000] "POST /user/register HTTP/1.1" 500 24 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:06:17:59 +0000] "POST /user/register HTTP/1.1" 500 24 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:06:21:32 +0000] "POST /user/register HTTP/1.1" 500 24 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:06:23:01 +0000] "POST /user/register HTTP/1.1" 500 24 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:06:23:19 +0000] "POST /user/register HTTP/1.1" 500 936 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:06:32:44 +0000] "POST /user/register HTTP/1.1" 500 936 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:06:35:59 +0000] "POST /user/register HTTP/1.1" 500 12 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:06:44:52 +0000] "POST /user/register HTTP/1.1" 500 433 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:06:45:57 +0000] "POST /user/register HTTP/1.1" 500 433 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:06:48:28 +0000] "POST /user/register HTTP/1.1" 201 42 "-" "PostmanRuntime/7.40.0"
::1 - - [28/Jul/2024:08:11:09 +0000] "POST /user/register HTTP/1.1" 201 42 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
